#Name   Z    Err_down    Err_up
rf0001      8.40521     0.130780    0.0980853
rf0003      8.79755     0.163475    0.0653902
rf0006      8.47060    0.0980853    0.0980853
rf0007      8.66677     0.130780    0.0980853
rf0008      8.96103    0.0326951      0.00000
rf0010      8.37252    0.0653902    0.0980853
rf0011      8.50330    0.0980853     0.163476
rf0014      8.43791    0.0980853     0.130780
rf0015      8.43791    0.0326951    0.0326952
rf0017      8.43791    0.0980853    0.0653902
rf0019      8.37252     0.163476     0.196171
rf0020      8.50330    0.0980853     0.163476
rf0023      8.40521    0.0980853    0.0980853
rf0024      8.63408     0.196171     0.130780
rf0028      8.43791     0.130780     0.130780
rf0029      8.43791    0.0980853    0.0980854
rf0030      8.53599    0.0980854     0.196171
rf0031      8.43791    0.0326951    0.0326952
rf0032      8.50330    0.0980853    0.0980853
rf0033      8.40521    0.0980853     0.130780
rf0034      8.37252    0.0653902    0.0980853
rf0040      8.83025     0.163476    0.0653902
rf0042      8.33982    0.0980853     0.130780
rf0043      8.89564    0.0980854    0.0326951
rf0045      8.33982    0.0653902     0.130780
rf0048      8.43791    0.0980853    0.0980854
rf0049      8.40521    0.0980853     0.130780
rf0051      8.30713    0.0980853     0.130780
rf0053      8.33982    0.0653902     0.130780
rf0058      8.47060    0.0980853     0.163476
rf0059      8.47060    0.0980853    0.0653902
rf0060      8.43791    0.0980853     0.130780
rf0061      8.47060    0.0980853     0.163476
rf0062      8.56869    0.0653902     0.130780
rf0064      8.30713    0.0980853    0.0980853
rf0065      8.43791    0.0980853    0.0980854
rf0068      8.30713    0.0980853     0.228866
rf0071      8.89564     0.130780    0.0326951
rf0072      8.20904    0.0653902    0.0326951
rf0073      8.37252    0.0653902    0.0653901
rf0074      8.66677     0.130780     0.130780
rf0076      8.43791    0.0980853    0.0980854
rf0077      8.40521    0.0980853     0.163476
rf0079      8.43791    0.0980853     0.163476
rf0083      8.40521    0.0980853     0.163476
rf0084      8.43791    0.0980853     0.196171
rf0092      8.92834    0.0980853    0.0326951
rf0098      8.40521    0.0326951    0.0653902
rf0099      8.40521    0.0980853     0.163476
rf0102      8.40521     0.130780     0.163476
rf0104      8.37252     0.130780     0.130780
rf0106      8.47060    0.0980853     0.163476
rf0107      8.40521    0.0980853    0.0980853
rf0108      8.33982    0.0980853    0.0980853
rf0109      8.50330     0.130780     0.163476
rf0110      8.27443     0.130780     0.228866
rf0111      8.47060    0.0980853     0.130780
rf0117      8.47060    0.0653902    0.0653902
rf0118      8.37252    0.0980853     0.163476
rf0119      8.40521    0.0980853     0.163476
rf0120      8.30713     0.130780     0.228866
rf0122      8.40521     0.130780    0.0980853
rf0125      8.33982      0.00000      0.00000
rf0126      8.92834    0.0653902    0.0326951
rf0128      8.47060    0.0653902    0.0980853
rf0129      8.47060    0.0980853     0.130780
rf0132      8.53599    0.0653902    0.0980853
rf0134      8.47060    0.0980853     0.294256
rf0141      8.37252     0.130780     0.163476
rf0143      8.43791    0.0980853     0.196171
rf0145      8.60138     0.130780     0.130780
rf0147      8.73216     0.163476    0.0980853
rf0150      8.92834     0.490427      0.00000
rf0154      8.30713    0.0980853     0.228866
rf0155      8.53599     0.130780     0.228866
rf0156      8.73216     0.326951    0.0653901
rf0157      8.27443    0.0980853    0.0980853
rf0160      8.50330    0.0980853     0.163476
rf0164      8.89564     0.130780    0.0326951
rf0165      8.40521    0.0980853     0.490427
rf0167      8.89564     0.523122    0.0326951
rf0169      8.43791     0.130780    0.0980854
rf0170      8.89564     0.425036    0.0326951
rf0171      8.96103    0.0326951      0.00000
rf0172      8.47060    0.0653902     0.294256
rf0173      8.92834     0.130780    0.0326951
rf0175      8.43791    0.0980853     0.163476
rf0176      8.79755     0.425036    0.0653902
rf0177      8.47060    0.0653902     0.130780
rf0179      8.40521    0.0980853     0.130780
rf0180      8.43791    0.0980853     0.196171
rf0181      8.40521     0.130780     0.130780
rf0191      8.89564    0.0980854    0.0326951
rf0192      8.47060    0.0980853    0.0653902
rf0193      8.86294     0.163476    0.0653902
rf0195      8.69947     0.326951    0.0980853
rf0197      8.40521    0.0980853     0.130780
rf0199      8.37252    0.0980853     0.228866
rf0201      8.30713    0.0326951    0.0653902
rf0204      8.37252    0.0980853    0.0980853
rf0205      8.92834    0.0980853      0.00000
rf0206      8.63408    0.0980853     0.130780
rf0207      8.43791     0.130780    0.0980854
rf0209      8.92834    0.0653902    0.0326951
rf0210      8.43791    0.0653901    0.0980854
rf0216      8.92834     0.163476    0.0326951
rf0217      8.79755     0.457731    0.0653902
rf0218      8.56869    0.0980853     0.163476
rf0223      8.86294     0.392341    0.0326952
rf0226      8.37252    0.0653902     0.294256
rf0227      8.43791    0.0980853     0.163476
rf0229      8.40521    0.0653902     0.392341
rf0234      8.86294     0.196171    0.0653902
rf0236      8.43791    0.0980853    0.0980854
rf0237      8.83025     0.261561    0.0653902
rf0238      8.40521    0.0980853     0.163476
rf0241      8.14365    0.0326951    0.0653902
rf0242      8.47060    0.0326952    0.0980853
rf0245      8.56869    0.0980853     0.163476
rf0246      8.24174    0.0980853    0.0980853
rf0247      8.40521    0.0980853     0.130780
rf0249      8.40521      0.00000    0.0326951
rf0250      8.27443    0.0653902    0.0980853
rf0251      8.43791    0.0980853     0.261561
rf0252      8.40521    0.0980853     0.130780
rf0256      8.73216     0.228866    0.0980853
rf0257      8.40521    0.0980853    0.0980853
rf0258      8.73216     0.294256    0.0980853
rf0259      8.47060    0.0980853     0.130780
rf0262      8.30713     0.130780     0.228866
rf0263      8.40521    0.0980853     0.196171
rf0264      8.86294     0.196171    0.0653902
rf0265      8.37252    0.0980853    0.0980853
rf0266      8.24174    0.0980853    0.0980853
rf0267      8.40521    0.0653902     0.163476
rf0268      8.40521    0.0980853     0.163476
rf0269      8.43791     0.130780     0.130780
rf0272      8.37252    0.0653902    0.0980853
rf0273      8.33982    0.0980853     0.196171
rf0280      8.37252    0.0980853    0.0980853
rf0283      8.40521    0.0326951      0.00000
rf0284      8.37252    0.0980853     0.130780
rf0292      8.83025     0.392341    0.0653902
rf0294      8.92834    0.0326951    0.0326951
rf0296      8.47060     0.196171     0.163476
rf0297      8.37252    0.0980853     0.163476
rf0298      8.43791    0.0980853     0.130780
rf0299      8.43791     0.130780     0.130780
rf0300      8.43791    0.0980853     0.196171
rf0302      8.69947     0.163475    0.0980853
rf0303      8.40521    0.0653902     0.163476
rf0305      8.43791    0.0980853     0.130780
rf0306      8.37252     0.130780     0.163476
rf0314      8.33982    0.0980853     0.228866
rf0316      8.50330    0.0980853     0.130780
rf0318      8.30713     0.130780     0.130780
rf0320      8.37252    0.0653902    0.0980853
rf0322      8.47060     0.130780     0.130780
rf0323      8.50330    0.0980853     0.163476
rf0326      8.37252    0.0980853     0.130780
rf0328      8.63408     0.196171     0.130780
rf0331      8.47060    0.0980853    0.0653902
rf0332      8.33982    0.0653902    0.0653902
rf0333      8.47060    0.0653902     0.130780
rf0335      8.37252     0.130780     0.163476
rf0338      8.37252    0.0653902    0.0653901
rf0339      8.56869     0.163476     0.196171
rf0340      8.40521    0.0980853    0.0980853
rf0341      8.83025     0.196171    0.0326951
rf0342      8.50330    0.0980853    0.0980853
rf0343      8.43791    0.0326951      0.00000
rf0348      8.56869    0.0980853    0.0653902
rf0351      8.40521    0.0653902     0.130780
rf0354      8.40521    0.0980853     0.261561
rf0358      8.30713    0.0653902    0.0653902
rf0360      8.40521     0.130780     0.196171
rf0363      8.24174    0.0326951    0.0653902
rf0364      8.43791    0.0980853     0.326951
rf0365      8.43791    0.0653901    0.0326952
rf0366      8.40521    0.0980853    0.0980853
rf0367      8.40521    0.0653902    0.0326951
rf0368      8.37252    0.0653902    0.0980853
rf0370      8.43791    0.0653901    0.0653902
rf0374      8.40521     0.130780     0.163476
rf0376      8.47060    0.0653902    0.0326951
rf0378      8.50330    0.0980853     0.130780
rf0381      8.40521    0.0980853     0.130780
rf0383      8.92834    0.0653902    0.0326951
rf0385      8.47060    0.0980853    0.0980853
rf0386      8.66677     0.261561    0.0653902
rf0387      8.50330    0.0980853     0.130780
rf0388      8.47060    0.0653902     0.130780
rf0391      8.43791    0.0980853     0.130780
rf0392      8.33982    0.0980853    0.0980853
rf0393      8.33982    0.0980853    0.0653902
rf0395      8.92834    0.0980853      0.00000
rf0396      8.83025     0.261561    0.0653902
rf0398      8.69947     0.228866    0.0980853
rf0399      8.47060    0.0653902     0.130780
rf0400      8.96103    0.0326951      0.00000
rf0401      8.27443    0.0980853     0.163475
rf0403      8.40521    0.0980853     0.163476
rf0412      8.43791    0.0980853     0.163476
rf0413      8.40521    0.0980853     0.228866
rf0415      8.60138     0.163476     0.130780
rf0417      8.92834    0.0980853      0.00000
rf0418      8.56869     0.130780     0.130780
rf0419      8.24174    0.0653902    0.0980853
rf0425      8.47060    0.0980853     0.196171
rf0426      8.24174     0.130780     0.261561
rf0427      8.50330    0.0980853     0.228866
rf0428      8.37252    0.0653902    0.0980853
rf0430      8.37252    0.0980853    0.0980853
rf0431      8.33982    0.0980853    0.0980853
rf0432      8.43791    0.0980853     0.163476
rf0433      8.43791     0.130780     0.261561
rf0434      8.37252    0.0980853    0.0980853
rf0436      8.33982     0.130780     0.196171
rf0439      8.24174     0.130780     0.163476
rf0441      8.33982     0.130780     0.130780
rf0443      8.43791     0.130780    0.0980854
rf0448      8.47060    0.0980853     0.163476
rf0450      8.63408     0.163476     0.130780
rf0452      8.69947     0.228866    0.0653902
rf0453      8.47060    0.0980853     0.130780
rf0454      8.47060    0.0980853    0.0653902
rf0455      8.83025     0.326951    0.0653902
